number_of_callers_not_null,is_init,is_static,is_override,uses_variables,call_external_methode,full_name
true,false,false,false,false,false,getProgress#org.bottiger.podcast.service.Downloader.engines.AndroidDownloader
true,false,false,false,false,false,addCallback#org.bottiger.podcast.service.Downloader.engines.AndroidDownloader
true,false,false,false,false,false,startDownload#org.bottiger.podcast.service.Downloader.engines.AndroidDownloader
true,false,false,false,false,false,search#org.bottiger.podcast.webservices.directories.stitcher.Stitcher
true,false,false,false,false,false,invalidateGlows#android.support.v7.widget.RecyclerView
true,false,false,false,false,false,onChildDetachedFromWindow#android.support.v7.widget.RecyclerView
true,false,false,false,false,false,getLayoutManager#android.support.v7.widget.RecyclerView
true,false,false,false,false,false,setHasFixedSize#android.support.v7.widget.RecyclerView
true,false,false,false,false,false,setOnScrollListener#android.support.v7.widget.RecyclerView
true,false,false,false,false,false,eatRequestLayout#android.support.v7.widget.RecyclerView
true,false,false,false,false,false,onEnterLayoutOrScroll#android.support.v7.widget.RecyclerView
true,false,false,false,false,false,onScrollStateChanged#android.support.v7.widget.RecyclerView
true,false,false,false,false,false,isRunningLayoutOrScroll#android.support.v7.widget.RecyclerView
true,false,false,false,false,false,onScrolled#android.support.v7.widget.RecyclerView
true,false,false,false,false,false,onChildAttachedToWindow#android.support.v7.widget.RecyclerView
true,false,false,false,false,false,getAdapter#android.support.v7.widget.RecyclerView
true,false,false,false,false,false,setOnRefreshListener#android.support.v4.widget.SwipeRefreshLayout
true,false,false,false,false,false,shareAsDefault#org.bottiger.podcast.flavors.Analytics.AbstractAnalytics
true,false,false,false,false,false,init#org.bottiger.podcast.views.FeedViewSwitch
true,false,false,false,false,false,getInterpolation#org.bottiger.podcast.views.MultiShrink.feed.MultiShrinkScroller$2
true,false,false,false,false,false,onScrolled#android.support.v7.widget.RecyclerView$OnScrollListener
true,false,false,false,false,false,onScrollStateChanged#android.support.v7.widget.RecyclerView$OnScrollListener
true,false,false,false,false,false,clearSubscriptionID#org.bottiger.podcast.playlist.Playlist
true,false,false,false,false,false,sizeOf#org.bottiger.podcast.images.BitmapLruImageCache
true,false,false,false,false,false,create#android.support.v4.util.LruCache
true,false,false,false,false,false,sizeOf#android.support.v4.util.LruCache
true,false,false,false,false,false,entryRemoved#android.support.v4.util.LruCache
true,false,false,false,false,false,process#com.facebook.imagepipeline.k.a
true,false,false,false,false,false,release#org.bottiger.podcast.images.FrescoHelper$1
true,false,false,false,false,false,getInterpolation#org.bottiger.podcast.views.MultiShrink.playlist.MultiShrinkScroller$2
true,false,false,false,false,false,<init>#android.widget.SeekBar
true,false,false,false,false,false,startDiscovery#org.bottiger.podcast.flavors.MediaCast.VendorMediaRouteCast
true,false,false,false,false,false,stopDiscovery#org.bottiger.podcast.flavors.MediaCast.VendorMediaRouteCast
true,false,false,false,false,false,getRouteSelector#org.bottiger.podcast.flavors.MediaCast.VendorMediaRouteCast
true,false,false,false,false,false,getOrder#org.bottiger.podcast.playlist.FeedCursorLoader
true,false,false,false,false,false,setRecycleChildrenOnDetach#android.support.v7.widget.LinearLayoutManager
true,false,false,false,false,false,convertFocusDirectionToLayoutDirection#android.support.v7.widget.LinearLayoutManager
true,false,false,false,false,false,onAnchorReady#android.support.v7.widget.LinearLayoutManager
true,false,false,false,false,false,getOrientation#android.support.v7.widget.LinearLayoutManager
true,false,false,false,false,false,onScrollStateChanged#android.support.v7.widget.RecyclerView$LayoutManager
true,false,false,false,false,false,onItemsChanged#android.support.v7.widget.RecyclerView$LayoutManager
true,false,false,false,false,false,computeHorizontalScrollExtent#android.support.v7.widget.RecyclerView$LayoutManager
true,false,false,false,false,false,performAccessibilityActionForItem#android.support.v7.widget.RecyclerView$LayoutManager
