cyclomatic_complexity,number_of_instructions,has_methode_onReceive,full_name,is_code_smell
1,3,False,<init>#com.facebook.UiLifecycleHelper$ActiveSessionBroadcastReceiver,false
1,2,False,<init>#com.facebook.UiLifecycleHelper$ActiveSessionBroadcastReceiver,false
1,2,False,<init>#com.google.android.gcm.GCMBroadcastReceiver,false
1,1,False,getGCMIntentServiceClassName#com.google.android.gcm.GCMBroadcastReceiver,false
1,1,False,<clinit>#com.google.android.gcm.GCMBroadcastReceiver,false
1,1,False,getDefaultIntentServiceClassName#com.google.android.gcm.GCMBroadcastReceiver,false
3,19,True,onReceive#com.google.android.gcm.GCMBroadcastReceiver,false
1,3,False,<init>#com.mixpanel.android.mpmetrics.GCMReceiver,false
2,24,False,handleNotificationIntent#com.mixpanel.android.mpmetrics.GCMReceiver,false
3,8,True,onReceive#com.mixpanel.android.mpmetrics.GCMReceiver,false
4,16,False,handleRegistrationIntent#com.mixpanel.android.mpmetrics.GCMReceiver,false
5,11,True,onReceive#org.ale.openwatch.WhatHappenedActivity$12,false
1,3,False,<init>#org.ale.openwatch.WhatHappenedActivity$12,false
4,16,True,onReceive#org.ale.openwatch.OWPhotoReviewActivity$6,false
1,3,False,<init>#org.ale.openwatch.OWPhotoReviewActivity$6,false
4,26,False,sendNotification#org.ale.openwatch.gcm.OWGcmBroadcastReceiver,false
3,23,True,onReceive#org.ale.openwatch.gcm.OWGcmBroadcastReceiver,false
1,20,False,showNotificationWithContentIntent#org.ale.openwatch.gcm.OWGcmBroadcastReceiver,false
1,2,False,<init>#org.ale.openwatch.gcm.OWGcmBroadcastReceiver,false
