has_onLowMemory,extend_class,full_name,is_code_smell
False,True,com.eleybourn.bookcatalogue.UpdateFromInternet,false
False,True,com.eleybourn.bookcatalogue.EditAuthorList,false
False,True,com.eleybourn.bookcatalogue.booklist.BooklistStylePropertiesActivity,false
False,True,com.eleybourn.bookcatalogue.AdministrationFunctions,false
False,True,com.eleybourn.bookcatalogue.Help,false
False,True,com.eleybourn.bookcatalogue.filechooser.BackupChooser,false
False,True,com.eleybourn.bookcatalogue.compat.BookCatalogueListActivity,false
False,True,com.eleybourn.bookcatalogue.AdministrationDonate,false
False,True,com.eleybourn.bookcatalogue.cropper.CropMonitoredActivity,false
False,True,com.eleybourn.bookcatalogue.goodreads.GoodreadsRegister,false
False,True,com.eleybourn.bookcatalogue.ActivityWithTasks,false
False,True,com.eleybourn.bookcatalogue.BookshelfEdit,false
False,True,com.eleybourn.bookcatalogue.OtherPreferences,false
False,True,com.eleybourn.bookcatalogue.Bookshelf,false
False,True,com.eleybourn.bookcatalogue.filechooser.FileChooser,false
False,True,com.eleybourn.bookcatalogue.AdministrationLibraryThing,false
False,True,com.eleybourn.bookcatalogue.compat.BookCatalogueActivity,false
False,True,com.eleybourn.bookcatalogue.AdministrationAbout,false
False,True,com.eleybourn.bookcatalogue.BindableItemListActivity,false
False,True,com.eleybourn.bookcatalogue.BookEdit,false
False,True,com.eleybourn.bookcatalogue.goodreads.GoodreadsSearchCriteria,false
False,True,com.eleybourn.bookcatalogue.SearchCatalogue,false
False,True,anupam.acrylic.EasyPaint,false
False,True,androidx.appcompat.app.c,false
False,True,ca.cmetcalfe.locationshare.MainActivity,false
False,True,androidx.activity.ComponentActivity,false
True,True,androidx.fragment.app.d,false
False,True,com.eolwral.osmonitor.OSMonitor,false
False,True,com.liato.bankdroid.AboutActivity,false
False,True,com.liato.bankdroid.appwidget.WidgetConfigureActivity,false
False,True,com.liato.bankdroid.SettingsActivity,false
False,True,com.liato.bankdroid.PairApplicationsActivity,false
False,True,com.liato.bankdroid.BankEditActivity,false
False,True,com.liato.bankdroid.TransactionsActivity,false
False,True,com.liato.bankdroid.MainActivity,false
False,True,com.liato.bankdroid.WebViewActivity,false
False,True,com.watabou.pixeldungeon.PixelDungeon,false
False,True,jackpal.androidterm.RunShortcut,false
False,True,jackpal.androidterm.RunScript,false
False,True,net.gsantner.markor.activity.openeditor.OpenEditorTodoActivity,false
False,True,net.gsantner.markor.activity.openeditor.OpenEditorQuickNoteActivity,false
False,True,net.gsantner.markor.activity.openeditor.OpenEditorLinkBoxActivity,false
False,True,org.adblockplus.android.Preferences,false
False,True,org.adblockplus.android.AdvancedPreferences,false
False,True,org.adw.library.licenses.LicensesActivity,false
False,True,org.adw.qk,false
False,True,org.adw.qn,false
False,True,org.adw.launcher.feedback.FeedBackActivity,false
False,True,org.adw.qy,false
False,True,org.adw.launcher.appsdrawerconfig.AppsDrawerConfigurationActivity,false
False,True,org.adw.library.adwthemes.ThemesMainActivity,false
False,True,org.adw.launcher.ADWResetDefaultActivity,false
False,True,org.adw.hi,false
False,True,org.adw.library.customwidget.CropActivity,false
False,True,org.adw.launcher.desktoplayout.DesktopSizeConfigurationActivity,false
False,True,org.adw.launcher.LauncherActivity,false
True,True,org.adw.bh,false
False,True,org.adw.bc,false
False,True,org.adw.bd,false
False,True,org.adw.be,false
False,True,org.adw.library.customwidget.TemplateManager,false
False,True,org.adw.launcher.ActivitiesListSelector,false
False,True,org.adw.library.customwidget.AdwPickerDialogActivity,false
False,True,org.adw.library.customwidget.ShareTemplatePicker,false
False,True,org.adw.launcher.IconPickerActivity,false
False,True,org.adw.launcher.backupmanager.BackupManagerActivity,false
False,True,org.adw.launcher.PreferencesActivity,false
False,True,org.adw.library.adwthemes.DetailThemeActivity,false
False,True,org.adw.launcher.usergesture.UserGestureConfigActivity,false
False,True,org.adw.launcher.folderappearance.FolderAppearanceEditorActivity,false
False,True,org.adw.yx,false
False,True,org.adw.library.customwidget.CustomWidgetEditorActivity,false
False,True,org.adw.launcher.PurchaseActivity,false
False,True,org.adw.launcher.iconappearance.IconAppearanceEditorActivity,false
False,True,org.adw.ahp,false
False,True,org.connectbot.HostListActivity,false
False,True,org.connectbot.PubkeyListActivity,false
False,True,org.connectbot.PortForwardListActivity,false
False,True,org.ligi.passandroid.ui.quirk_fix.USAirwaysLoadActivity,false
False,True,org.ligi.passandroid.ui.FullscreenBarcodeActivity,false
False,True,org.ligi.passandroid.ui.PassViewActivityBase,false
False,True,org.ligi.passandroid.ui.PassListActivity,false
False,True,org.ligi.passandroid.FullscreenMapActivity,false
False,True,org.ligi.passandroid.ui.quirk_fix.URLRewriteActivity,false
False,True,org.ligi.passandroid.ui.ExtractURLAsIphoneActivity,false
False,True,org.ligi.passandroid.ui.PassViewActivity,false
False,True,com.androidemu.nes.MainActivity,false
False,True,org.ale.openwatch.OWProfileActivity,false
False,True,org.ale.openwatch.OWMissionViewActivity,false
False,True,org.ale.openwatch.SettingsActivity,false
False,True,org.ale.openwatch.WebViewActivity,false
False,True,org.ale.openwatch.MapActivity,false
False,True,org.ale.openwatch.FancyLoginActivity,false
False,True,org.ale.openwatch.WhatHappenedActivity,false
False,True,org.ale.openwatch.fb.FaceBookSherlockActivity,false
False,True,org.ale.openwatch.LoginActivity,false
False,True,org.ale.openwatch.OWMediaObjectViewActivity,false
False,True,org.ale.openwatch.OWInvestigationViewActivity,false
False,True,org.ale.openwatch.FeedFragmentActivity,false
False,True,org.ale.openwatch.RecorderActivity,false
False,True,org.ale.openwatch.OnBoardingActivity,false
False,True,org.ale.openwatch.OWPhotoReviewActivity,false
False,True,se.tube42.kidsmem.android.MainActivity,false
False,True,com.traffar.gomoku.gomokuActivity,false
True,False,org.libsdl.app.SDLActivity,false
