lack_of_cohesion_in_methods,number_of_methods,number_of_attributes,full_name
0,2,2,aarddict.android.LookupActivity$5$1
0,3,3,aarddict.android.DictionaryService$DeleteObserver
3,3,0,org.codehaus.jackson.map.deser.StdKeyDeserializer$CharKD
4,5,2,org.codehaus.jackson.map.deser.EnumMapDeserializer
3,3,0,org.codehaus.jackson.map.deser.StdDeserializer$ShortDeserializer
0,0,0,org.codehaus.jackson.annotate.JacksonAnnotation
3,3,0,org.codehaus.jackson.map.deser.FromStringDeserializer$CurrencyDeserializer
4,4,1,org.codehaus.jackson.map.util.SubTypeHelper
6,4,0,org.codehaus.jackson.map.ser.JdkSerializers$FileSerializer
0,1,0,org.codehaus.jackson.map.deser.Creator
0,1,0,org.codehaus.jackson.annotate.JsonGetter
0,1,1,org.codehaus.jackson.map.ObjectMapper$1
4,4,1,aarddict.android.DictionaryInfoActivity
0,2,0,org.codehaus.jackson.annotate.JsonSubTypes$Type
2,4,2,org.codehaus.jackson.map.util.LinkedNode
0,8,3,org.codehaus.jackson.map.type.ClassKey
1,2,0,org.codehaus.jackson.map.deser.StdScalarDeserializer
3,4,0,org.codehaus.jackson.map.ser.ContainerSerializerBase
3,3,0,org.codehaus.jackson.map.deser.StdKeyDeserializer$ByteKD
0,1,0,org.codehaus.jackson.map.JsonSerializableWithType
3,3,0,org.codehaus.jackson.map.deser.StdDeserializer$BooleanDeserializer
3,3,0,org.codehaus.jackson.map.util.ArrayBuilders$LongBuilder
0,2,1,aarddict.android.ArticleViewActivity$12$1
3,3,0,org.codehaus.jackson.map.util.ArrayBuilders$ShortBuilder
3,3,1,aarddict.android.SectionMatcher
3,3,0,org.codehaus.jackson.map.ext.JodaDeserializers$DateTimeDeserializer
0,1,3,aarddict.android.VerifyRecord
0,3,1,aarddict.android.DictionariesActivity$3
0,2,1,aarddict.android.DictionariesActivity$2
0,3,2,aarddict.android.DictionariesActivity$1
2,4,2,org.codehaus.jackson.map.ser.SerializerCache$UntypedKeyRaw
10,9,3,org.codehaus.jackson.map.jsontype.NamedType
3,3,0,org.codehaus.jackson.map.deser.ArrayDeserializers$StringDeser
0,4,2,org.codehaus.jackson.sym.CharsToNameCanonicalizer$Bucket
3,3,0,org.codehaus.jackson.map.deser.StdKeyDeserializer$IntKD
3,3,0,org.codehaus.jackson.map.ext.CoreXMLDeserializers$QNameDeserializer
3,3,1,org.codehaus.jackson.map.introspect.BasicClassIntrospector$SetterMethodFilter
0,1,2,org.codehaus.jackson.map.deser.BeanDeserializer$1
0,3,2,aarddict.android.ArticleViewActivity$10
0,2,2,aarddict.android.ArticleViewActivity$11
0,1,0,aarddict.Volume$InvalidFormatVersionException
0,3,0,org.codehaus.jackson.schema.JsonSerializableSchema
0,3,2,aarddict.android.ArticleViewActivity$12
0,4,1,org.codehaus.jackson.map.jsontype.impl.AsPropertyTypeDeserializer
0,2,3,aarddict.android.ArticleViewActivity$13
3,3,0,org.codehaus.jackson.impl.DefaultPrettyPrinter$FixedSpaceIndenter
0,1,0,aarddict.Volume$CorruptedFileException
0,2,1,aarddict.android.LookupActivity$WordAdapter$1$1
0,6,0,org.codehaus.jackson.map.annotate.JsonDeserialize
3,3,0,org.codehaus.jackson.map.deser.FromStringDeserializer$URIDeserializer
6,4,0,org.codehaus.jackson.map.SerializerFactory
11,7,3,org.codehaus.jackson.map.deser.EnumResolver
6,4,1,org.codehaus.jackson.map.deser.JsonNodeDeserializer$ArrayDeserializer
0,5,4,aarddict.Entry
0,1,0,org.codehaus.jackson.map.introspect.MethodFilter
10,5,0,org.codehaus.jackson.impl.RootWContext
10,5,0,org.codehaus.jackson.map.ser.ArraySerializers$DoubleArraySerializer
3,3,0,org.codehaus.jackson.map.deser.DateDeserializer
1,2,1,aarddict.android.DictionariesActivity$DictListAdapter$3$1
0,9,1,org.codehaus.jackson.map.introspect.AnnotatedMethodMap
3,3,0,org.codehaus.jackson.map.RuntimeJsonMappingException
10,5,0,org.codehaus.jackson.impl.ArrayWContext
1,3,0,org.codehaus.jackson.map.deser.FromStringDeserializer
10,5,1,org.codehaus.jackson.map.ser.StdSerializers$NumberSerializer
6,4,0,org.codehaus.jackson.map.ser.StdSerializers$IntegerSerializer
6,4,0,org.codehaus.jackson.map.ext.JodaSerializers$DateMidnightSerializer
6,9,1,org.codehaus.jackson.map.deser.BaseNodeDeserializer
0,1,0,org.codehaus.jackson.map.annotate.NoClass
6,4,1,org.codehaus.jackson.map.deser.JsonNodeDeserializer$ObjectDeserializer
3,3,0,org.codehaus.jackson.map.deser.StdKeyDeserializer$FloatKD
0,7,4,org.codehaus.jackson.map.ser.ReadOnlyClassToSerializerMap
0,4,4,org.codehaus.jackson.map.deser.Creator$Delegating
0,1,1,org.codehaus.jackson.impl.ByteSourceBootstrapper$1
0,7,3,org.codehaus.jackson.map.type.TypeParser$MyTokenizer
6,4,0,org.codehaus.jackson.map.MappingJsonFactory
3,3,0,org.codehaus.jackson.map.deser.StdDeserializer$TokenBufferDeserializer
0,1,0,aarddict.Volume$MetadataTooBigException
3,3,0,org.codehaus.jackson.map.util.ArrayBuilders$DoubleBuilder
0,4,2,org.codehaus.jackson.sym.BytesToNameCanonicalizer$Bucket
0,2,0,org.codehaus.jackson.map.KeyDeserializer
2,4,2,org.codehaus.jackson.map.ser.SerializerCache$TypedKeyRaw
0,2,0,org.codehaus.jackson.annotate.JsonPropertyOrder
0,5,2,org.codehaus.jackson.impl.ReaderBasedParserBase
0,2,1,org.codehaus.jackson.map.deser.StdKeyDeserializer$StringFactoryKeyDeserializer
3,3,0,org.codehaus.jackson.map.deser.ArrayDeserializers$FloatDeser
3,3,0,org.codehaus.jackson.map.ext.JodaDeserializers$LocalDateDeserializer
11,7,3,aarddict.android.EinkArticleView
